Date : 2024-11-08 09:39:50
Directory : ./src
Total : 2407 files,  175638 codes, 34304 comments, 12556 blanks, all 222498 lines, 16.34% comment rate

Languages
+----------------+------------+------------+------------+------------+------------+--------------+
| language       | files      | code       | comment    | blank      | total      | comment rate |
+----------------+------------+------------+------------+------------+------------+--------------+
| JavaScript     |      1,825 |    146,873 |      4,433 |      9,268 |    160,574 |        2.93% |
| TypeScript     |        219 |     15,338 |     29,559 |      2,486 |     47,383 |       65.84% |
| Less           |        346 |     12,454 |        282 |        723 |     13,459 |        2.21% |
| TypeScript JSX |          3 |        493 |          5 |         36 |        534 |        1.00% |
| JavaScript JSX |          2 |        237 |         24 |         21 |        282 |        9.20% |
| XML            |         10 |        111 |          0 |          7 |        118 |        0.00% |
| JSON           |          1 |        106 |          0 |          1 |        107 |        0.00% |
| Markdown       |          1 |         26 |          1 |         14 |         41 |        3.70% |
+----------------+------------+------------+------------+------------+------------+--------------+

Directories
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+--------------+
| path                                                                                                     | files      | code       | comment    | blank      | total      | comment rate |
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+--------------+
| .                                                                                                        |      2,407 |    175,638 |     34,304 |     12,556 |    222,498 |       16.34% |
| pages                                                                                                    |      2,043 |    150,130 |      3,804 |      9,281 |    163,215 |        2.47% |
| pages/afterLease                                                                                         |        202 |     17,362 |        541 |      1,043 |     18,946 |        3.02% |
| pages/project                                                                                            |        161 |     16,375 |        418 |        756 |     17,549 |        2.49% |
| pages/financial                                                                                          |        177 |     15,853 |        251 |        952 |     17,056 |        1.56% |
| pages/dashboard                                                                                          |        315 |     14,209 |        368 |      1,265 |     15,842 |        2.52% |
| pages/customer                                                                                           |        126 |     13,569 |        423 |        577 |     14,569 |        3.02% |
| pages/contract/list                                                                                      |        174 |     13,169 |        262 |        854 |     14,285 |        1.95% |
| pages/contract                                                                                           |        174 |     13,169 |        262 |        854 |     14,285 |        1.95% |
| api                                                                                                      |        181 |     12,182 |     29,408 |      2,293 |     43,883 |       70.71% |
| pages/budget                                                                                             |        151 |     12,181 |        189 |        678 |     13,048 |        1.53% |
| pages/customer/maintain                                                                                  |         94 |     10,930 |        413 |        411 |     11,754 |        3.64% |
| pages/dashboard/workbench                                                                                |        234 |     10,832 |        292 |        970 |     12,094 |        2.62% |
| pages/afterLease/checkPlan                                                                               |        105 |      9,984 |        297 |        551 |     10,832 |        2.89% |
| pages/customer/maintain/detail                                                                           |         71 |      9,474 |        380 |        306 |     10,160 |        3.86% |
| pages/cpm                                                                                                |        124 |      9,360 |        386 |        531 |     10,277 |        3.96% |
| components                                                                                               |        122 |      8,782 |        701 |        624 |     10,107 |        7.39% |
| pages/contract/list/detail                                                                               |        121 |      8,772 |        157 |        567 |      9,496 |        1.76% |
| pages/process                                                                                            |        174 |      8,381 |        346 |        687 |      9,414 |        3.96% |
| pages/afterLease/checkPlan/template                                                                      |         46 |      6,383 |        146 |        279 |      6,808 |        2.24% |
| pages/project/establishment                                                                              |         47 |      5,815 |         75 |        219 |      6,109 |        1.27% |
| pages/financial/fund                                                                                     |         61 |      5,794 |         73 |        388 |      6,255 |        1.24% |
| pages/kpi                                                                                                |         99 |      5,721 |        107 |        433 |      6,261 |        1.84% |
| pages/project/establishment/detail                                                                       |         42 |      5,459 |         64 |        201 |      5,724 |        1.16% |
| pages/process/Detail                                                                                     |         93 |      5,291 |        241 |        455 |      5,987 |        4.36% |
| pages/risk                                                                                               |         74 |      5,238 |         94 |        314 |      5,646 |        1.76% |
| pages/project/review                                                                                     |         53 |      5,158 |        171 |        259 |      5,588 |        3.21% |
| pages/project/price                                                                                      |         50 |      4,703 |        163 |        240 |      5,106 |        3.35% |
| pages/customer/maintain/detail/Basic                                                                     |         37 |      4,639 |        181 |        155 |      4,975 |        3.76% |
| pages/project/review/detail                                                                              |         46 |      4,469 |        161 |        221 |      4,851 |        3.48% |
| pages/budget/pricing                                                                                     |         58 |      4,401 |         92 |        248 |      4,741 |        2.05% |
| pages/budget/flowCenter                                                                                  |         34 |      4,091 |         24 |        218 |      4,333 |        0.58% |
| pages/project/price/detail                                                                               |         43 |      4,014 |        154 |        202 |      4,370 |        3.69% |
| pages/lifeCycle                                                                                          |         40 |      3,749 |         37 |        145 |      3,931 |        0.98% |
| pages/cpm/paymentApplication                                                                             |         39 |      3,312 |         96 |        192 |      3,600 |        2.82% |
| pages/afterLease/checkPlan/template/DynamicForm                                                          |         25 |      3,293 |         23 |        197 |      3,513 |        0.69% |
| pages/process/Detail/ZTabs                                                                               |         49 |      3,271 |        105 |        254 |      3,630 |        3.11% |
